DOI,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10.1101/2020.11.10.20229120,0,0.0,2.0,4.0,6.0,6.0,39.0,,,,,,,,,,,,,,,,,,
10.1101/2022.04.26.22274244,0,1.0,2.0,6.0,36.0,44.0,48.0,55.0,,,,,,,,,,,,,,,,,
10.1101/2020.05.22.20110668,0,2.0,10.0,14.0,27.0,31.0,65.0,,,,,,,,,,,,,,,,,,
10.1101/2020.04.25.20080093,0,34.0,35.0,37.0,54.0,65.0,79.0,91.0,,,,,,,,,,,,,,,,,
10.1101/2021.10.19.21265183,0,12.0,14.0,15.0,18.0,96.0,98.0,,,,,,,,,,,,,,,,,,
10.1101/19009407,0,16.0,20.0,30.0,88.0,100.0,115.0,129.0,,,,,,,,,,,,,,,,,
10.1101/2020.04.29.20085506,0,8.0,15.0,25.0,31.0,39.0,42.0,67.0,100.0,130.0,,,,,,,,,,,,,,,
10.1101/2020.11.18.20230649,0,0.0,0.0,15.0,22.0,66.0,132.0,137.0,,,,,,,,,,,,,,,,,
10.1101/2021.12.04.21267300,0,1.0,21.0,39.0,45.0,120.0,143.0,,,,,,,,,,,,,,,,,,
10.1101/2020.10.15.20208454,0,0.0,22.0,48.0,55.0,99.0,148.0,,,,,,,,,,,,,,,,,,
10.1101/2020.10.27.20220202,0,44.0,72.0,77.0,82.0,82.0,85.0,94.0,157.0,,,,,,,,,,,,,,,,
10.1101/2020.05.27.20115238,0,2.0,15.0,41.0,78.0,108.0,158.0,197.0,,,,,,,,,,,,,,,,,
10.1101/2022.08.09.22278555,0,1.0,6.0,7.0,12.0,13.0,14.0,36.0,63.0,82.0,212.0,,,,,,,,,,,,,,
10.1101/2020.11.08.20224915,0,12.0,41.0,60.0,106.0,176.0,219.0,,,,,,,,,,,,,,,,,,
10.1101/2023.02.22.23286205,0,42.0,93.0,178.0,181.0,193.0,256.0,317.0,,,,,,,,,,,,,,,,,
10.1101/2021.02.13.21251670,0,18.0,53.0,129.0,145.0,180.0,230.0,336.0,,,,,,,,,,,,,,,,,
10.1101/2022.02.01.22269218,0,2.0,188.0,189.0,190.0,191.0,210.0,213.0,358.0,388.0,,,,,,,,,,,,,,,
10.1101/2021.08.24.21262525,0,3.0,25.0,250.0,400.0,406.0,413.0,,,,,,,,,,,,,,,,,,
10.1101/2022.11.24.22282720,0,22.0,120.0,125.0,184.0,191.0,436.0,,,,,,,,,,,,,,,,,,
10.1101/2023.02.09.23285582,0,4.0,5.0,17.0,24.0,26.0,59.0,73.0,471.0,472.0,,,,,,,,,,,,,,,
10.1101/2022.08.15.22278703,0,129.0,147.0,166.0,181.0,489.0,491.0,496.0,,,,,,,,,,,,,,,,,
10.1101/2020.07.09.20143164,0,27.0,58.0,82.0,100.0,110.0,142.0,154.0,164.0,190.0,197.0,213.0,234.0,242.0,258.0,281.0,304.0,351.0,409.0,432.0,457.0,471.0,492.0,507.0,544.0
10.1101/2020.01.22.20018408,0,1.0,493.0,541.0,926.0,952.0,,,,,,,,,,,,,,,,,,,
10.1101/2020.11.23.20235945,0,55.0,212.0,860.0,874.0,958.0,1063.0,,,,,,,,,,,,,,,,,,
10.1101/2020.07.17.20155218,0,39.0,61.0,73.0,121.0,201.0,258.0,260.0,265.0,354.0,368.0,397.0,412.0,529.0,627.0,1133.0,,,,,,,,,
